User: ::1, Action: session expired, Time: December 12, 2019, 4:14:50 PM, IP: ::1
User: ::1, Action: session expired, Time: December 12, 2019, 4:38:49 PM, IP: ::1
User: ::1, Action: session expired, Time: December 12, 2019, 4:38:52 PM, IP: ::1
User: , Action: added user admin, Time: December 12, 2019, 4:39:59 PM, IP: ::1
User: , Action: viewed users, Time: December 12, 2019, 4:40:02 PM, IP: ::1
User: , Action: viewed users, Time: December 12, 2019, 4:40:11 PM, IP: ::1
User: , Action: viewed clients, Time: December 12, 2019, 4:40:20 PM, IP: ::1
User: , Action: added client abc, Time: December 12, 2019, 4:41:03 PM, IP: ::1
User: , Action: viewed clients, Time: December 12, 2019, 4:41:05 PM, IP: ::1
User: , Action: added event 0001-01-01, Time: December 12, 2019, 4:41:28 PM, IP: ::1
User: ::1, Action: session expired, Time: December 12, 2019, 4:46:49 PM, IP: ::1
User: ::1, Action: session expired, Time: December 12, 2019, 4:46:53 PM, IP: ::1
User: admin, Action: logged in, Time: December 12, 2019, 4:46:53 PM, IP: ::1
User: admin, Action: added client ccc, Time: December 12, 2019, 4:48:13 PM, IP: ::1
User: admin, Action: viewed clients, Time: December 12, 2019, 4:48:15 PM, IP: ::1
User: admin, Action: updated client abc, Time: December 12, 2019, 4:48:20 PM, IP: ::1
User: admin, Action: updated events from client id 1, Time: December 12, 2019, 4:48:20 PM, IP: ::1
User: admin, Action: viewed clients, Time: December 12, 2019, 4:48:22 PM, IP: ::1
User: admin, Action: deleted client id 2, Time: December 12, 2019, 4:48:26 PM, IP: ::1
User: admin, Action: added event 0001-01-01, Time: December 12, 2019, 4:48:46 PM, IP: ::1
User: admin, Action: updated event id 2, Time: December 12, 2019, 4:48:52 PM, IP: ::1
User: admin, Action: updated notifications from id 2, Time: December 12, 2019, 4:48:52 PM, IP: ::1
User: admin, Action: deleted event id 1, Time: December 12, 2019, 4:48:58 PM, IP: ::1
User: admin, Action: viewed notifys, Time: December 12, 2019, 4:49:16 PM, IP: ::1
User: admin, Action: added notification sean, Time: December 12, 2019, 4:49:24 PM, IP: ::1
User: admin, Action: viewed notifys, Time: December 12, 2019, 4:49:25 PM, IP: ::1
User: admin, Action: added notification joe, Time: December 12, 2019, 4:49:36 PM, IP: ::1
User: admin, Action: viewed notifys, Time: December 12, 2019, 4:49:38 PM, IP: ::1
User: admin, Action: deleted notify id 2, Time: December 12, 2019, 4:49:43 PM, IP: ::1
User: admin, Action: added notification theo, Time: December 12, 2019, 4:49:59 PM, IP: ::1
User: admin, Action: viewed notifys, Time: December 12, 2019, 4:50:01 PM, IP: ::1
User: admin, Action: updated notification id3, Time: December 12, 2019, 4:50:05 PM, IP: ::1
User: admin, Action: viewed users, Time: December 12, 2019, 4:50:16 PM, IP: ::1
User: admin, Action: viewed users, Time: December 12, 2019, 4:50:28 PM, IP: ::1
User: admin, Action: viewed users, Time: December 12, 2019, 4:50:38 PM, IP: ::1
User: admin, Action: downloaded database, Time: December 12, 2019, 4:50:48 PM, IP: ::1
User: admin, Action: uploaded database, Time: December 12, 2019, 4:51:01 PM, IP: ::1
